message,domain,id
is my delta flight on time,travel,94feb99f-3244-4d29-82bb-673a23dca518
can i get cash back for my points,credit_cards,43eed363-e74c-40d5-a1a9-2bc6db0e18ed
what is the balance of my bank account,banking,d6033a40-8bb0-4037-8821-2221b60945d9
what do i do if i suspect my car battery is dead,auto_and_commute,333d50de-d759-4bf7-9513-7e4c4157830e
my account has a fraudulent transaction i think,banking,211304ef-363f-49f9-a56f-601ff345f21d
what is the due date for my metronorth monthy pass,banking,5a99e449-fb8a-4e7e-84ee-53e58d6248e3
text my mom for me and tell them i will be home soon,utility,9e9b9ea8-8ebc-438f-907c-0178940c334a
can you calculate my state taxes,work,7ad0d9f0-e3c0-4251-85fd-05ab045611ed
i would like to change my credit limit,credit_cards,b6e8ce97-9182-4ea1-b258-82aa384257bf
really dont know,meta,29de9731-2717-43e7-8d8b-da00e0b0b414
what are ways to utilize my credit card points,credit_cards,c97b4ed8-3ce7-4d68-a31a-6a87957885ae
how can i up my credit score,credit_cards,dcc34ec9-f275-4146-954e-f9f57b0fb478
is there a greater purpose in life,small_talk,ae06cbbf-6ca6-4bcd-bf09-35853b340e00
what movie is it that says today is a good day to die,oos,db14ade4-af6c-4abb-95fa-addd18f641a6
tell me why my card got declined,credit_cards,45495ac7-888a-4d85-8a45-af0d55019534
can i increase the credit limit on my kohls card,credit_cards,bcb1c028-5904-4e0f-80e3-1b0da61f5300
can you add passionfruit by yaeji to my playlist,home,5c424a53-7d5a-4210-acfa-b9572cda65b4
what do i have left to do on my to-do list,home,a1f0989a-f5ea-4048-b22b-9454533b442d
can you tell me the date,utility,109b7c32-4d4d-4f08-a423-8cccdf679d7c
tell me what my credit score is,credit_cards,2f1f04fe-9797-49d5-8832-6e0c172cd0c4
will you roll a 2 sided dice,utility,acc34717-08b7-4e34-8888-9736245f4f26
please allow dan to see my location,utility,37fc79df-40de-465b-8667-b2461773b8ad
check what's on my calendar for tuesday,home,02c00894-042e-4f41-ab04-483a2f4b4761
tell me the nutrition for grapes,kitchen_and_dining,20d52099-e817-4e2c-bd0a-137a556671de
what's the song currently playing,home,7e53a6b5-35a9-4201-aa97-278ef4d9f48f
i need some good suggestions for peruvian cuisine,kitchen_and_dining,a5857957-e18b-4c3b-8991-8cbf96da78c8
i need to know favorable reviews about boston restaurant,kitchen_and_dining,d2d4819e-bae7-4b81-b2d5-e8c275a01c4c
