message,label,id
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,1
Ok lar... Joking wif u oni...,ham,2
U dun say so early hor... U c already then say...,ham,3
I HAVE A DATE ON SUNDAY WITH WILL!!,ham,9
Fine if that’s the way u feel. That’s the way its gota b,ham,12
Is that seriously how you spell his name?,ham,14
I‘m going to try for 2 months ha ha only joking,ham,15
So ü pay first lar... Then when is da stock comin...,ham,16
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,17
Ffffffffff. Alright no way I can meet up with you sooner?,ham,18
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,20
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,22
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,24
I see the letter B on my car,ham,25
Anything lor... U decide...,ham,26
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,27
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,28
WHO ARE YOU SEEING?,ham,30
Great! I hope you like your man well endowed. I am  &lt;,ham,31
No calls..messages..missed calls,ham,32
"Fair enough, anything going on?",ham,33
What you thinked about me. First time you saw me in class.,ham,34
A gram usually runs like  &lt;,ham,35
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,37
Tell where you reached,ham,39
Yes..gauti and sehwag out of odi series.,ham,40
Ha ha ha good joke. Girls are situation seekers.,ham,41
Its a part of checking IQ,ham,42
"Sorry my roommates took forever, it ok if I come by now?",ham,43
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,44
Today is 'song dedicated day..' Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...,ham,46
I plane to give on this month end.,ham,48
Wah lucky man... Then can save money... Hee...,ham,49
Finished class where are you.,ham,50
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,51
U can call me now...,ham,53
I am waiting machan. Call me once you free.,ham,54
Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,55
I like you peoples very much:) but am very shy pa.,ham,56
Does not operate after  &lt;,ham,57
K. Did you call me just now ah?,ham,58
You will be in the place of that man,ham,60
Yup next stop.,ham,61
"Ela kano.,il download, come wen ur free..",ham,62
Yeah do! Don‘t stand to close tho- you‘ll catch something!,ham,63
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,64
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham,66
Watching telugu movie..wat abt u?,ham,68
i see. When we finish we have loads of loans to pay,ham,69
I see a cup of coffee animation,ham,71
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham,72
Umma my life and vava umma love you lot dear,ham,73
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham,74
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,75
Going for dinner.msg you after.,ham,77
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,ham,80
here is my new address -apples&pairs&all that malarky,ham,83
I am going to sao mu today. Will be done only at 12,ham,85
"Good stuff, will do.",ham,86
Are you there in room.,ham,87
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,88
K..k:)how much does it cost?,ham,89
"Dear, will call Tmorrow.pls accomodate.",ham,90
First answer my question.,ham,91
No no. I will check all rooms befor activities,ham,94
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,ham,95
"Sir, Waiting for your mail.",ham,96
I know you are. Can you pls open the back?,ham,98
Whats the staff name who is taking class for us?,ham,100
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,101
K..i deleted my contact that why?,ham,102
Sindu got job in birla soft ..,ham,103
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham,104
Ok... Ur typical reply...,ham,105
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",ham,106
Aaooooright are you at work?,ham,107
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham,108
I place all ur points on e cultures module already.,ham,114
Great escape. I fancy the bridge but needs her lager. See you tomo,ham,116
Yes :)it completely in out of form:)clark also utter waste.,ham,117
"Sir, I need AXIS BANK account no and bank address.",ham,118
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",ham,119
What time you coming down later?,ham,120
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",ham,121
U still going to the mall?,ham,122
Text her. If she doesnt reply let me know so i can have her log in,ham,123
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham,124
Lol no. U can trust me.,ham,125
"He will, you guys close?",ham,127
Going on nothing great.bye,ham,128
"Haha awesome, be there in a minute",ham,129
Have you got Xmas radio times. If not i will get it now,ham,131
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham,132
Hi :)finally i completed the course:),ham,134
Gud mrng dear hav a nice day,ham,136
Did u got that persons story,ham,137
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,ham,138
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,ham,139
"Found it, ENC  &lt;",ham,140
I sent you  &lt;,ham,141
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;,ham,143
Goodmorning sleeping ga.,ham,144
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ham,146
"Aight yo, dats straight dogg",ham,147
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham,148
Home so we can always chat,ham,150
K:)k:)good:)study well.,ham,151
Yup... How ü noe leh...,ham,152
Sounds great! Are you home now?,ham,153
Finally the match heading towards draw as your prediction.,ham,154
Easy ah?sen got selected means its good..,ham,155
I have to take exam with march 3,ham,156
Ok no prob. Take ur time.,ham,157
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham,159
Would really appreciate if you call me. Just need someone to talk to.,ham,161
Hey company elama po mudyadhu.,ham,163
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham,164
Get down in gandhipuram and walk to cross cut road. Right side &lt;,ham,166
Dear we are going to our rubber place,ham,167
Yes:)here tv is always available in work place..,ham,168
I have printed it oh. So  &lt;,ham,170
Or ill be a little closer like at the bus stop on the same street,ham,171
Tomarrow final hearing on my laptop case so i cant.,ham,174
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,ham,175
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",ham,176
I asked you to call him now ok,ham,177
Kallis wont bat in 2nd innings.,ham,178
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,ham,179
Ranjith cal drpd Deeraj and deepak 5min hold,ham,181
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham,182
What you doing?how are you?,ham,183
Mmm so yummy babe ... Nice jolt to the suzy,ham,185
Where are you lover ? I need you ...,ham,186
I‘m parked next to a MINI!!!! When are you coming in today do you think?,ham,188
Yup,ham,189
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,ham,190
Why you Dint come with us.,ham,192
Same. Wana plan a trip sometme then,ham,193
"Not sure yet, still trying to get a hold of him",ham,194
The evo. I just had to download flash. Jealous?,ham,196
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",ham,198
"Usf I guess, might as well take 1 car",ham,200
No objection. My bf not coming.,ham,201
Thanx...,ham,202
Tell rob to mack his gf in the theater,ham,203
Just sent it. So what type of food do you like?,ham,204
All done? All handed in? Celebrations in full swing yet?,ham,205
You got called a tool?,ham,206
"'Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch' gdeve..",ham,207
Ok. I asked for money how far,ham,208
Okie...,ham,209
"K, I might come by tonight then if my class lets out early",ham,210
Ok..,ham,211
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham,212
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",ham,213
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",ham,214
Hey you told your name to gautham ah?,ham,215
Haf u found him? I feel so stupid da v cam was working.,ham,216
Oops. 4 got that bit.,ham,217
Are you this much buzy,ham,218
I accidentally deleted the message. Resend please.,ham,219
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham,220
I cant pick the phone right now. Pls send a message,ham,221
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",ham,222
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",ham,223
Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?,ham,224
He is a womdarfull actor,ham,225
Yup... From what i remb... I think should be can book...,ham,227
Jos ask if u wana meet up?,ham,228
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham,230
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",ham,232
You made my day. Do have a great day too.,ham,233
K.k:)advance happy pongal.,ham,234
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",ham,235
"Coffee cake, i guess...",ham,237
"Merry Christmas to you too babe, i love ya *kisses*",ham,238
Hey... Why dont we just go watch x men and have lunch... Haha,ham,239
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,ham,240
No problem. How are you doing?,ham,241
No calls..messages..missed calls,ham,242
Hi da:)how is the todays class?,ham,243
K.k:)apo k.good movie.,ham,244
Maybe i could get book out tomo then return it immediately ..? Or something.,ham,245
"Ta-Daaaaa! I am home babe, are you still up ?",ham,248
Cool. So how come you havent been wined and dined before?,ham,249
Just sleeping..and surfing,ham,250
U calling me right? Call my hand phone...,ham,251
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,ham,252
Where u been hiding stranger?,ham,253
Am not interested to do like that.,ham,254
Gudnite....tc...practice going on,ham,256
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,ham,257
One small prestige problem now.,ham,258
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham,260
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,ham,261
&lt;,ham,262
"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",ham,263
"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",ham,266
Ha ha cool cool chikku chikku:-):-DB-),ham,267
Oh ok no prob..,ham,268
Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,ham,269
Well i know Z will take care of me. So no worries.,ham,271
Wat uniform? In where get?,ham,274
I will spoil you in bed as well :),ham,276
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,ham,277
Can you say what happen,ham,279
Keep my payasam there if rinu brings,ham,280
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,ham,281
"Yeah sure, give me a couple minutes to track down my wallet",ham,282
Hey leave it. not a big deal:-) take care.,ham,283
Hey i will be late ah... Meet you at 945+,ham,284
Customer place i will call you.,ham,287
Mm that time you dont like fun,ham,288
Yup having my lunch buffet now.. U eat already?,ham,290
Huh so late... Fr dinner?,ham,291
Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,ham,292
Morning only i can ok.,ham,293
Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,ham,294
Pick you up bout 7.30ish? What time are  and that going?,ham,295
From here after The performance award is calculated every two month.not for current one month period..,ham,296
"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",ham,298
Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,ham,299
Dear how is chechi. Did you talk to her,ham,301
"Yep, the great loxahatchee xmas tree burning of  &lt;",ham,303
"Haha get used to driving to usf man, I know a lot of stoners",ham,304
Hello! Good week? Fancy a drink or something later?,ham,305
Headin towards busetop,ham,306
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham,307
Come by our room at some point so we can iron out the plan for this weekend,ham,308
Cos i want it to be your thing,ham,309
Bring home some Wendy =D,ham,310
Whatsup there. Dont u want to sleep,ham,312
Alright i have a new goal now,ham,313
Siva is in hostel aha:-.,ham,317
Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;,ham,319
aathi..where are you dear..,ham,320
Any pain on urination any thing else?,ham,321
7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,ham,322
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;,ham,323
At home watching tv lor.,ham,324
Does she usually take fifteen fucking minutes to respond to a yes or no question,ham,325
The message sent is askin for  &lt;,ham,328
How long does applebees fucking take,ham,329
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",ham,330
Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,ham,332
You were supposed to wake ME up &gt;:(,ham,333
"'HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX'",ham,335
"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm.",ham,336
I wont get concentration dear you know you are my mind and everything :-),ham,337
10 min later k...,ham,339
hanks lotsly!,ham,340
Thanks for this hope you had a good day today,ham,341
K:)k:)what are detail you want to transfer?acc no enough?,ham,342
Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ham,343
Si si. I think ill go make those oreo truffles.,ham,344
"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DON’T LIKE ME LIKE THAT SO DON’T WORRY.",ham,345
"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",ham,346
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,ham,347
Where did u go? My phone is gonna die you have to stay in here,ham,348
Great. Never been better. Each day gives even more reasons to thank God,ham,349
Ok i am on the way to railway,ham,350
great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;,ham,351
When are you going to ride your bike?,ham,352
There are many company. Tell me the language.,ham,353
"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;",ham,356
Love you aathi..love u lot..,ham,357
Tension ah?what machi?any problem?,ham,358
"Almost there, see u in a sec",ham,359
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",ham,360
Watching tv lor...,ham,361
You should change your fb to jaykwon thuglyfe falconerf,ham,363
If we win its really no 1 side for long time.,ham,364
Dear reached railway. What happen to you,ham,366
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",ham,367
What class of  &lt;,ham,369
Are you free now?can i call now?,ham,370
Got meh... When?,ham,371
Some of them told accenture is not confirm. Is it true.,ham,373
"Kate jackson rec center before 7ish, right?",ham,374
Dear i have reache room,ham,375
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham,376
When can ü come out?,ham,377
Check with nuerologist.,ham,378
Lolnice. I went from a fish to ..water.?,ham,379
"Maybe westshore or hyde park village, the place near my house?",ham,380
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham,381
Lol ok your forgiven :),ham,382
No..jst change tat only..,ham,383
S:)no competition for him.,ham,385
"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri.",ham,388
Shall i come to get pickle,ham,389
Were gonna go get some tacos,ham,390
Yes! How is a pretty lady like you single?,ham,392
What Today-sunday..sunday is holiday..so no work..,ham,395
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",ham,397
"Probably gonna be here for a while, see you later tonight &lt;)",ham,398
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham,399
"I am in tirupur da, once you started from office call me.",ham,400
But am going to college pa. What to do. are else ill come there it self. Pa.,ham,402
4 oclock at mine. Just to bash out a flat plan.,ham,403
Then any special there?,ham,404
"Sorry that took so long, omw now",ham,405
Wait  &lt;,ham,406
"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",ham,407
I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book,ham,408
Having lunch:)you are not in online?why?,ham,410
I know that my friend already told that.,ham,411
Hi Princess! Thank you for the pics. You are very pretty. How are you?,ham,412
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..",ham,413
"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",ham,416
"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",ham,418
Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,ham,419
WOT U WANNA DO THEN MISSY?,ham,420
Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,ham,421
Do you know where my lab goggles went,ham,422
Can you open the door?,ham,423
Nope i waiting in sch 4 daddy...,ham,425
Ü wait 4 me in sch i finish ard 5..,ham,427
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",ham,429
Huh so early.. Then ü having dinner outside izzit?,ham,430
my ex-wife was not able to have kids. Do you want kids one day?,ham,433
Tell them u have a headache and just want to use 1 hour of sick time.,ham,434
Ya srsly better than yi tho,ham,436
You still at grand prix?,ham,439
"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",ham,440
I am great! How are you?,ham,441
Gud mrng dear have a nice day,ham,442
Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,ham,444
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham,445
Speaking of does he have any cash yet?,ham,446
Be happy there. I will come after noon,ham,447
Meet after lunch la...,ham,448
TaKe CaRE n gET WeLL sOOn,ham,449
what I meant to say is cant wait to see u again getting bored of this bridgwater banter,ham,451
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,ham,453
I have many dependents,ham,454
THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,ham,455
I called and said all to him:)then he have to choose this future.,ham,456
'Happy valentines day' I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...,ham,457
He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,ham,458
For my family happiness..,ham,459
I come n pick ü up... Come out immediately aft ur lesson...,ham,460
Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,ham,461
Dear we got  &lt;,ham,462
Good words.... But words may leave u in dismay many times.,ham,463
"sorry, no, have got few things to do. may be in pub later.",ham,464
Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,ham,466
Please dont say like that. Hi hi hi,ham,469
Thank u!,ham,470
Oh that was a forwarded message. I thought you send that to me,ham,471
Got it. Seventeen pounds for seven hundred ml – hope ok.,ham,472
Me n him so funny...,ham,474
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",ham,475
When ü login dat time... Dad fetching ü home now?,ham,476
"What will we do in the shower, baby?",ham,477
I had askd u a question some hours before. Its answer,ham,478
Probably gonna swing by in a wee bit,ham,479
Ya very nice. . .be ready on thursday,ham,480
Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,ham,481
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham,482
Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,ham,483
No prob. I will send to your email.,ham,485
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),ham,487
"Wait, do you know if wesleys in town? I bet she does hella drugs!",ham,488
Fine i miss you very much.,ham,489
