CONT,INTG,DMNR,DILG,CFMG,DECI,PREP,FAMI,ORAL,WRIT,PHYS,RTEN,judge
7.2,8.1,7.8,7.8,7.5,7.6,7.5,7.5,7.3,7.4,7.9,7.8,"ARMENTANO,A.J."
6.8,8.9,8.8,8.5,7.8,8.1,8,8,7.8,7.9,8.5,8.7,"ALEXANDER,J.M."
10.6,9,8.9,8.7,8.5,8.5,8.5,8.5,8.6,8.4,9.1,9,"CALLAHAN,R.J."
7.5,8.7,8.5,8.6,8.5,8.4,8.5,8.5,8.4,8.4,8.7,8.7,"MULVEY,H.M."
7.3,8.9,8.8,8.7,8.4,8.5,8.5,8.5,8.4,8.4,8.8,8.8,"SHEA,J.F.JR."
7,5.9,4.9,5.1,5.4,5.9,4.8,5.1,4.7,4.9,6.8,5,"COHEN,S.S."
6.6,7.4,6.2,6.2,5.4,5.7,5.8,5.9,5.2,5.8,4.7,5.2,"MIGNONE,A.F."
8,7.6,6.6,7.2,6.5,6.5,6.8,6.7,6.4,6.5,6.9,6.7,HEALEY.A.H.
7.3,8,7.4,7.7,7.3,7.3,7.3,7.2,7.1,7.2,8,7.6,"HAMILL,E.C."
6.2,8.3,8.1,7.7,7.4,7.3,7.3,7.3,7.2,7.3,7.8,7.6,"MISSAL,H.M."
7.1,8.5,8.3,8,7.9,7.9,7.8,7.8,7.8,7.7,8.3,8.2,"O'BRIEN,F.J."
7.1,8.4,8.4,7.7,7.5,7.7,7.8,8.2,8,8.1,8.3,8.1,"WRIGHT,D.B."
6.2,8.8,8.7,8.5,7.9,8,8.1,8,8,8,8.6,8.6,"BURNS,E.B."
7.1,9.2,9,9,8.4,8.6,9.1,9.1,8.9,9,8.9,9.2,"RUBINOW,J.E."
7.7,6.2,5.1,5.6,5.6,5.9,5.6,5.6,5.3,5.5,6.3,5.3,"SIDOR,W.J."
7,7.5,6.4,6.8,6.5,7,6.6,6.8,6.3,6.6,6.2,6.5,"GRILLO,A.E."
5.7,7.9,7.7,7.3,7.1,7.4,7.1,7.1,7.1,7,8.3,7.8,"AARONSON,L.H."
7,8,7.6,7.4,7.3,7.5,7.1,7.2,7.1,7.2,8.4,7.7,"DEAN,H.H."
6.7,8.6,8.2,6.8,6.9,6.6,7.1,7.3,7.2,7.2,8.1,7.7,"DRISCOLL,P.J."
7.7,7.7,6.7,7.5,7.4,7.5,7.1,7.3,7.1,7.3,8.1,7.4,"HULL,T.C."
8.4,8,7.9,7.9,7.8,7.8,7.6,7.4,7.4,7.4,8.1,7.9,"SATANIELLO,A.G."
7.5,8.1,7.7,8.2,8,8.1,8.2,8.4,8,8.1,8.4,8.1,"PASKEY,L."
6.6,7.4,6.9,8.4,8,7.9,8.2,8.4,7.7,7.9,8.4,7.5,SADEN.G.A.
8.5,8.3,8.1,8.3,8.4,8.2,8.2,8.1,7.9,8,8,8.2,"SPEZIALE,J.A."
6.8,8.8,8.5,8.8,8.3,8.5,8.7,8.7,8.4,8.5,8.8,8.7,"BERDON,R.I."
7.6,7.3,6.9,6.8,6.7,6.8,6.4,6.3,6.3,6.3,7.4,6.6,"MCGRATH,J.F."
6.5,8,7.6,7.2,7,7.1,6.9,7,7,7.1,6.9,7.2,"DEVITA,H.J."
9,7,5.9,7,7,7.2,6.9,6.9,6.5,6.6,7.6,6.6,"WALL,R.A."
8.6,7.4,7,7.5,7.5,7.7,7.4,7.2,6.9,7,7.8,7.1,"ZARRILLI,K.J."
8.2,7.9,6.7,8.1,7.9,8,7.9,8.1,7.7,7.8,8.5,7.9,"DANNEHY,J.F."
6.5,8.1,8,8,7.9,8,7.9,7.8,7.8,7.8,8.4,8,"HADDEN,W.L.JR."
6.9,8.3,8,8.1,7.9,7.9,7.9,7.7,7.6,7.7,8.1,8,"SPONZO,M.J."
7.3,6.4,4.3,6.5,6,6.2,5.7,5.7,5.1,5.3,5.5,4.8,"BRACKEN,J.J."
9.6,6.9,5.7,6.6,6.9,6.6,6.2,6,5.8,5.8,7.2,6,"LEVISTER,R.L."
7.1,8.2,7.7,7.1,6.6,6.6,6.7,6.7,6.8,6.8,7.5,7.3,"MARTIN,L.F."
8.3,7.3,7,6.8,7,7.1,6.7,6.7,6.7,6.7,8,7,"TESTO,R.J."
8.3,8.2,7.4,7.8,7.7,7.7,7.7,7.8,7.5,7.6,8,8,"LEVINE,I."
6.5,8.2,7.7,7.8,7.6,7.7,7.7,7.7,7.5,7.6,8.5,7.7,"STAPLETON,J.F."
8.3,8.2,7.8,8.3,8.4,8.3,7.7,7.6,7.5,7.7,8.1,7.9,"TIERNEY,W.L.JR."
7.3,8.9,8.9,8.7,8.6,8.5,8.4,8.4,8.4,8.5,8.8,8.8,"DALY,J.J."
7.5,9,8.9,8.7,8.4,8.5,8.4,8.3,8.3,8.3,8.8,8.7,"O'SULLIVAN,T.J."
6.9,8.5,7.8,8.5,8.1,8.2,8.4,8.5,8.1,8.3,8.7,8.3,"SHEA,D.M."
7.8,8.9,8.7,8.9,8.7,8.8,8.9,9,8.8,8.9,9,9,"NARUK,H.J."
