status_id,created_at,text,source,hour,minute,day
1204113478518288385,2019-12-09T18:59:59Z,"Cleared Waivers
Steven Kampfer (D) | Boston Bruins
#NHLBruins

https://t.co/hATt90HMV7",CapFriendly Transactions,18,59,9
1204115033443241992,2019-12-09T19:06:10Z,#NHLBruins center Patrice Bergeron is set to return from injury Monday vs. the Senators. @MichaelaNESN details why Bergeron's return is so important for the B's right now. https://t.co/HHn3hZx7GO https://t.co/lnDXKIk33O,Twitter Media Studio,19,6,9
1204115626597462018,2019-12-09T19:08:31Z,"IR → NHL
Patrice Bergeron (C) | Boston Bruins
#NHLBruins

https://t.co/B9Jf13K2pn",CapFriendly Transactions,19,8,9
1204116299930120193,2019-12-09T19:11:11Z,Steven Kampfer: Has been reassigned to the AHL. https://t.co/SjKH4k4pmV  #nhl #NHLBruins,Left Wing Lock News Feed,19,11,9
1204116764931641345,2019-12-09T19:13:02Z,Bruins at Senators 12/9/19 - #NHL Picks &amp; Odds https://t.co/vilGrFZJvw #PicksParlays #NHLBruins #GoSensGo https://t.co/Aa3pCcMWQl,Buffer,19,13,9
1204118852893847552,2019-12-09T19:21:20Z,"#NHLBruins center Patrice Bergeron speaks on his return tonight from a lower body injury, maintaining his health throughout the NHL season. https://t.co/HHn3hZx7GO https://t.co/JoHPodD5ON",Twitter Media Studio,19,21,9
1204129128594726922,2019-12-09T20:02:10Z,"NOW AIRING - @BigBadBruinsPod w/ @iglen31 and @Chris_Blackey - Ep 15: Giving Thanks for a Strong #NHLBruins Start; Turkey or Ham? 

LISTEN LIVE - https://t.co/oXZlyYJorr

#FPC #SportsRadio #NFL #NBA #NHL #MLB  @FPCoverage https://t.co/00gt6lC8QP",Radio.co now playing,20,2,9
1204136907204104193,2019-12-09T20:33:05Z,"Refs Dan O'Halloran and Kelly Sutherland work #NHLBruins #GoSensGo with Tony Sericolo and Tyson Baker   
   https://t.co/qzUUBQYRQN   
  
#BOS #OTT #BOSvsOTT #Bruins #Senators #NHL",Postcron App,20,33,9
1204141617667596288,2019-12-09T20:51:48Z,"Patrice Bergeron returns to the lineup tonight in Ottawa as the #NHLBruins open up a four-game road trip.

🎥 All of today's pregame news in 60 seconds, pres. by @TDFSports: https://t.co/dWbVnqByYE",Twitter Media Studio,20,51,9
1204157277495865344,2019-12-09T21:54:01Z,Las Vegas Odds &amp; #NHLPicks and Parlays by #LVSBTeam Boston #NHLBruins vs Ottawa #Sens - Boston is 8-2 SU in its Last 10 Games - https://t.co/jP3Wh5GnhO https://t.co/wN1Sh1WNHP,Sprout Social,21,54,9
